ID,Century,Location,Result for the United States and its Allies,Presidents of the United States,GDP Impact Notes,War Description,Start Year,End Year,Declared War?,Outcome,Cold War Proxy?
77,20th Century,Laos ,Pathet Lao-allied victory: Fall of the Kingdom of Laos. Establishment of the communist state Lao People's Democratic Republic,"Dwight D. Eisenhower (January 20, 1953 - January 20, 1961), John F. Kennedy (January 20, 1961 - November 22, 1963), Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974), Gerald Ford (August 9, 1974 - January 20, 1977)",Covert CIA involvement; modest direct cost,"A covert Cold War conflict in which the CIA organized and supported Hmong guerrillas and Royal Lao forces against the Communist Pathet Lao, backed by North Vietnam. The 'Secret War' included massive US bombing campaigns; it ended with Communist victory in 1975 and the flight of the Hmong people.",1959,1975,No,Defeat,Yes
78,20th Century,Indonesia ,Indonesian government victory: Permesta surrendered to Indonesia government,Dwight D. Eisenhower,Covert CIA involvement in Indonesia; minimal direct cost,"A CIA-backed regional rebellion by military commanders in Sulawesi and Sumatra against Indonesia's central government under Sukarno. The operation was exposed when a CIA pilot was shot down and captured; the US quietly withdrew support, and the rebellion collapsed, embarrassing the Eisenhower administration.",1958,1961,No,Defeat,Yes
79,20th Century,Lebanon ,US-allied victory: US-Lebanese occupation of the port and international airport of Beirut,Dwight D. Eisenhower,Brief intervention; minimal economic impact,"President Eisenhower ordered Marines into Lebanon to stabilize the pro-Western government of President Chamoun, threatened by pan-Arab nationalist unrest inspired by Nasser's Egypt. The brief deployment helped stabilize the situation without major combat, and US forces withdrew within months.",1958,1958,No,Withdrawal,Yes
80,20th Century,Cuba ,Cuban government victory: Failure to topple Castro's government. United States sponsored Brigade 2506 (Cuban exiles) defeated. Increased cooperation between Cuba and theSoviet Union,John F. Kennedy,CIA operation; modest cost and significant political damage,"A CIA-trained force of Cuban exiles landed at the Bay of Pigs to overthrow Fidel Castro's government, but the operation was a catastrophic failure. Kennedy's decision not to provide US air cover doomed the invaders; the debacle strengthened Castro, embarrassed the Kennedy administration, and deepened the Cold War in Latin America.",1961,1961,No,Defeat,Yes
81,20th Century,Dominican Republic ,US-allied victory: Fall of the Boschregime. Joaquín Balaguer elected as the new president,Lyndon B. Johnson,Military intervention; modest cost,"Political chaos following the assassination of dictator Trujillo led to a military coup and civil war in the Dominican Republic. President Johnson ordered 22,000 troops to intervene, fearing a Communist takeover; the US-brokered elections returned a moderate government and American forces withdrew.",1965,1966,No,Victory,Yes
82,20th Century,Korean Demilitarized Zone ,US-allied victory: North Korean failure to launch an insurgency in South Korea,"Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974)",Ongoing low-level conflict; minor additional cost,"A low-level but lethal undeclared war along the Korean Demilitarized Zone, during which North Korea dramatically escalated infiltration, assassination attempts, and attacks on US and South Korean forces. The campaign included the seizure of the USS Pueblo and the shooting down of a US reconnaissance aircraft.",1966,1969,No,Stalemate,Yes
83,20th Century,Cambodia ,Khmer Rouge-allied victory: Fall of the Kingdom of Cambodia. Creation but eventual collapse of the Khmer Republic. Creation of the Democratic Kampuchea. Beginning of the Cambodian genocide,"Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974), Gerald Ford (August 9, 1974 - January 20, 1977)",Extension of Vietnam War; included within broader Vietnam costs,"A civil war pitting the US-backed Khmer Republic against the Communist Khmer Rouge, entangled with the Vietnam War. US and South Vietnamese forces invaded Cambodia to destroy North Vietnamese sanctuaries; massive US bombing campaigns failed to save the government, and the Khmer Rouge seized power in 1975.",1967,1975,No,Defeat,Yes
84,20th Century,Lebanon ,Syrian-allied victory: Multinational forces fail to prevent collapse of Lebanese Army into Syrian- or Israeli- supported militias. Multinational forces evacuated after the US embassy and US Marine barracks are bombed by the Islamic Jihad Organization. Multinational forces oversee withdrawal of Palestine Liberation Organization. Humanitarian crisis in Southern Lebanon. Civil war continues until 1990. President Hafez al-Assad continues his occupation of Lebanon until his son and later president Bashar al-Assad orders a withdrawal from the country,"Ronald Reagan(January 20, 1981 - January 20, 1989)",Ended after Beirut barracks bombing; modest cost,US Marines deployed to Lebanon as part of a multinational peacekeeping force during the Lebanese Civil War following Israel's invasion. The mission turned deadly when a suicide truck bomb killed 241 American servicemen at the Marine barracks in Beirut; Reagan withdrew the force shortly thereafter.,1982,1984,No,Withdrawal,Yes
85,20th Century,Grenada ,US-allied victory: Military dictatorship of Hudson Austin deposed. Defeat of Cuban military presence. Restoration of constitutional government,Ronald Reagan,Very short operation; minimal economic impact,"President Reagan ordered an invasion of the small Caribbean island of Grenada following a Marxist coup and the murder of Prime Minister Maurice Bishop, citing the safety of American medical students. The operation quickly overwhelmed Grenadan and Cuban forces, restoring democratic governance.",1983,1983,No,Victory,Yes
86,20th Century,Libya ,US victory: Failed Libyan Scud missile response. Muammar Gaddafi survives,Ronald Reagan,Air strikes; minimal cost,"US Air Force and Navy aircraft struck targets in Tripoli and Benghazi in retaliation for Libyan-sponsored terrorism, including the bombing of a Berlin discotheque that killed US soldiers. Operation El Dorado Canyon was the first American use of UK-based aircraft for combat operations since WWII.",1986,1986,No,Victory,Yes
87,20th Century,Persian Gulf ,"US victory: U.S. Navy sinks several ships and damages Iranian military installations used to attack U.S. and U.S. allied civilian shipping. U.S. Navy vessel USS Vincennes shoots down civilian Iran Air Flight 655 killing all 290 passengers, among them 66 children. Iran-Iraq War ends in August 1988 following UN enforcement of the ceasefire",Ronald Reagan,Naval escorts in Persian Gulf; modest cost,"The US Navy began escorting Kuwaiti oil tankers reflagged under the American flag in the Persian Gulf during the Iran-Iraq War, after Iranian attacks on shipping threatened oil flows. The operation involved direct clashes with Iranian naval forces, including the largest US naval battle since WWII.",1987,1988,No,Victory,Yes
88,20th Century,Panama ,US-allied victory: Dictator Manuel Noriega deposed,George H. W. Bush,Short operation; modest cost,"US forces invaded Panama to overthrow dictator Manuel Noriega, who had been indicted on drug trafficking charges and who had nullified elections and threatened US personnel. Operation Just Cause swiftly defeated the Panamanian Defense Forces; Noriega was captured and extradited to face drug charges.",1989,1990,No,Victory,No
89,20th Century,"Iraq, Kuwait, Saudi Arabia, and Israel ",US-allied victory: Iraqi withdrawal from Kuwait; EmirJaber III restored. Sanctions against Iraq,George H. W. Bush,Cost ~$61B; largely offset by allied contributions,"A US-led international coalition of 35 nations drove Iraqi forces from Kuwait after Saddam Hussein's invasion. Operation Desert Storm's air campaign and 100-hour ground offensive devastated Iraqi forces; President Bush stopped short of capturing Baghdad, leaving Saddam in power and setting the stage for future conflict.",1990,1991,Yes,Victory,No
90,20th Century,Iraq ,US-allied victory: Periodic depletion of Iraqi air defenses,"George H. W. Bush (January 20, 1989 - January 20, 1993), Bill Clinton (January 20, 1993 - January 20, 2001), George W. Bush (January 20, 2001 - January 20, 2009)",12-year operation; significant cumulative cost,"Following the Gulf War, the US and allies enforced no-fly zones over northern and southern Iraq to protect Kurdish and Shia populations from Saddam Hussein's military. Over 12 years, US and British aircraft flew thousands of sorties, regularly engaging Iraqi air defenses in an ongoing low-level conflict.",1991,2003,No,Ongoing→Superseded,No
91,20th Century,Somalia ,"Somali victory: Failure to capture SNA leader Mohamed Farrah Aidid; specific Aidid lieutenants captured. Withdrawal of U.S. forces 5 months after losses in the Battle of Mogadishu. The UN mandate saved close to 100,000 lives, before and after U.S. withdrawal. Civil war is on going","George H. W. Bush (January 20, 1989 - January 20, 1993), Bill Clinton (January 20, 1993 - January 20, 2001)",Humanitarian mission turned combat; modest cost,US and UN forces deployed to Somalia during a catastrophic famine caused by clan warfare. What began as a humanitarian mission escalated when the US targeted warlord Mohamed Aidid; the Battle of Mogadishu (Black Hawk Down) killed 18 US soldiers and prompted American withdrawal.,1992,1995,No,Withdrawal,No
92,20th Century,Bosnia and Herzegovina and Croatia ,"Inconclusive/Other Result: Military stalemate. Dayton Accords. Internal partition of Bosnia and Herzegovina. Over 101,000 dead, 65,000 Bosniaks, 28,000 Serbs, 8,000 Croats. Deployment of NATO-led IFOR to uphold the peace agreement. High Representative for Bosnia and Herzegovina established to implement the peace agreement","George H. W. Bush (January 20, 1989 - January 20, 1993), Bill Clinton (January 20, 1993 - January 20, 2001)",Air campaign and peacekeeping; modest US cost,"The US and NATO intervened in the Yugoslav Wars following ethnic cleansing and genocide in Bosnia and Croatia. After years of failed diplomacy, NATO air campaigns and Croat-Bosnian offensives forced the Serbs to the negotiating table; the Dayton Accords ended the war and deployed NATO peacekeepers.",1992,1995,No,Victory,No
93,20th Century,Haiti ,US-allied victory: Reinstatement of Jean-Bertrand Aristide as president of Haiti,Bill Clinton,Bloodless invasion; modest cost,"President Clinton ordered a military invasion to restore Haiti's elected president Jean-Bertrand Aristide, ousted in a military coup. As the invasion force was en route, a last-minute diplomatic agreement by Jimmy Carter persuaded the junta to step down, allowing a peaceful transition.",1994,1995,No,Victory,No
94,20th Century,Serbia ,"US-allied victory: Ceasefire reached through Kumanovo Agreement of June 1999 after Russian and Finnish envoys visit Belgrade. Yugoslav forces pull out of Kosovo. UN Resolution 1244 confirming Kosovo as de jure part of FRY. De facto separation of Kosovo from FR Yugoslavia under UN administration. Return of Albanian refugees after attempted ethnic cleansing of Albanians. KLA veterans join the UÇPMB, starting the Preševo insurgency. Around 200,000 Serbs, Romani, and other non-Albanians fleeing Kosovo and many of the remaining civilians becoming victims of abuse. Three Chinese journalists were killed in United States bombing of the Chinese embassy in Belgrade",Bill Clinton,Air campaign; ~$3B cost,"NATO launched a 78-day air campaign against Yugoslavia to halt Serbian ethnic cleansing of Kosovo's Albanian population, without UN Security Council authorization. Slobodan Milošević eventually withdrew forces from Kosovo, which came under UN administration and later declared independence in 2008.",1998,1999,No,Victory,No
95,21st Century,Afghanistan,"Taliban victory: United States invasion of Afghanistan (2001), Destruction ofal-Qaeda and Taliban militant training camps(2001), Fall of theTaliban government(2001) and Establishment of the Islamic Republic of Afghanistan. Start ofTaliban insurgency, Osama bin Laden killed by SEAL Team Six operators in Abbottabad, Pakistan in May 2011, ""Afghanization"" of  Afghan conflict. Withdrawal of most US troops by 2014. End of Operation Enduring Freedom; start of Operation Freedom's Sentinel. End of US and ISAF led combat mission; beginning of NATO-led training and assistance mission. Doha Agreement and progressive withdrawal of remaining US troops after 2020.",,Cost ~$2.3T; longest US war,"Launched after the 9/11 attacks to destroy Al-Qaeda and the Taliban government that harbored them, Afghanistan became America's longest war. Initial success in toppling the Taliban gave way to a protracted insurgency; the US withdrew in 2021 and the Taliban rapidly retook the country.",2001,2021,No,Defeat,No
96,21st Century,Yemen,Ongoing: 378 drone strikes confirmed. al-Qaeda in the Arabian Peninsula leaders confirmed killed. Numerous al-Qaeda in the Arabian Peninsula bases destroyed. Most recent drone strike against al-Qaeda launched in February 2023. Saudi-led coalition forces intervene in Yemenin 2015 to restore the internationally recognized Yemen government led by President Abdrabbuh Mansur Hadi. United States support the Saudi Arabian-led intervention primarily through arms sales and technical assistance. U.S. Army Special Forces deployed to the Saudi Arabia-Yemen border to help defeat the Houthi rebels in 2018. Missile strikes against Houthi-controlled territory beginning in 2024,,Drone strikes and special operations; modest direct cost,"The US has conducted drone strikes, special operations raids, and provided intelligence and logistical support to Saudi Arabia's military campaign in Yemen's civil war. The intervention targeted Al-Qaeda in the Arabian Peninsula but has drawn criticism for civilian casualties and contributing to a humanitarian catastrophe.",2002,ongoing,No,Ongoing,No
97,21st Century,Iraq,"Inconclusive/Other Result: Invasion and occupation of Iraq. Overthrow of Ba'ath Party government. Execution of Saddam Hussein.Emergence of significant insurgency, rise of al-Qaeda in Iraq, and severe sectarian violence. Subsequent reduction in violence and depletion of al-Qaeda in Iraq. Establishment of democratic elections and formation of new Shia-led government. U.S.-Iraq Status of Forces Agreement. Withdrawal of U.S. forces from Iraq in 2011. Stronger Iranian influence in Iraq. Escalation of sectarian insurgency after U.S. withdrawal leading to the rise of the Islamic State of Iraq and the Levant, the successor of al-Qaeda in Iraq. Return of US forces to Iraq in 2014",,Cost ~$2.4T; significant fiscal and economic impact,"President Bush launched the invasion of Iraq, asserting—incorrectly—that Saddam Hussein possessed weapons of mass destruction and had links to Al-Qaeda. The rapid military victory gave way to a catastrophic insurgency and sectarian civil war; the war destabilized the Middle East and led to the rise of ISIS.",2003,2011,No,Withdrawal,No
98,21st Century,Pakistan,"US-allied victory: 430 drone strikes confirmed. 81 high-level insurgent leaders and thousands of low-level insurgents killed. Deaths of Hafiz Saeed Khan, the leader (emir) of ISIS-K, Afghan Taliban head Akhtar Mansour, and successive TPP heads Baitullah Mehsud and Hakimullah Mehsud. Destruction of numerous insurgent camps and safe havens. Large number of insurgents killed while some fled to Afghanistan. Most recent drone strike launched in January 2018",,Drone campaign; modest direct cost,"The US conducted an extensive covert drone strike campaign in Pakistan's tribal areas against Al-Qaeda, the Taliban, and associated groups. The strikes killed numerous militant leaders—including Osama bin Laden's associates—but also caused civilian casualties and severely strained US-Pakistan relations.",2004,2018,No,Partial Victory,No
99,21st Century,Somalia and North eastern Kenya,"Ongoing: Hundreds of drone strikes targeting the terrorist group al-Shabaab. Raids against al-Shabaab militants conducted by U.S. Special Operations Forces. African Union Intervention. U.S. backed Ethiopian invasionin 2006. Kenyan intervention. Newly formed federal government.established in 2012. Power struggle within al-Shabaab. Majority of US Troops withdraw in January 2021. US airstrikes against al-Shabaab in 2022. Redeployment of US troops in Somalia in 2022. Death of Islamic State in Somalia leader, Bilal al-Sudanion January 25, 2023. Approximately 450 U.S. troops remain in Somalia as of June 2023",,Ongoing drone and special operations campaign,"The US has conducted ongoing drone strikes, special operations raids, and support for African Union forces against the Islamist militant group Al-Shabaab in Somalia. Operations have killed numerous Al-Shabaab commanders but have failed to end the group's insurgency.",2007,ongoing,No,Ongoing,No
100,21st Century,Indian Ocean,"US-allied victory: Number of pirate attacks dramatically decreased. The US Office of Naval Intelligence have officially reported that in 2013, only 9 incidents of piracy were reported and that none of them were successfully hijacked. Piracy drops 90%",,Anti-piracy naval operation; modest cost,"A NATO naval operation in the Indian Ocean and Gulf of Aden to counter Somali piracy, which had reached its peak threatening global shipping lanes. The operation contributed to a dramatic decline in piracy through naval patrols and support for counter-piracy capacity building.",2009,2016,No,Victory,No
101,21st Century,Libya ,"US-allied victory: UN authorisation of NATO led military intervention. Overthrow and collapse of The Great Socialist People's Libyan Arab Jamahiriya. The killing of Muammar Gaddafi and the end of his rule over Libya. Start and continuation of The Libyan crisis. Assumption of interim control by National Transitional Council (NTC); remains in power until August 8, 2012. Diplomatic recognition of NTC as sole governing authority for Libya by 105 countries, UN, EU, AL and AU. Post-civil war violence in Libya leading to the second civil war in 2014. Rise and spread of Madkhalismin Libya",,Air campaign; ~$1.1B US cost,"NATO launched air strikes and enforced a no-fly zone over Libya after Muammar Gaddafi threatened to massacre rebels. The campaign helped rebel forces overthrow and kill Gaddafi, but the absence of post-conflict planning left Libya in chaos with rival governments and militias fighting to this day.",2011,2011,No,Victory,No
102,21st Century,Uganda ,"US-allied victory: Founder and leader of the LRA Joseph Rao Kony goes into hiding. Senior LRA commander Dominic Ongwen surrenders to American forces in the Central African Republic and is tried in The Hague. Majority of LRA installations and encampments located in South Sudan and Uganda abandoned and dismantled. Small scale LRA activity continues in eastern DR Congo, and the Central African Republic",,Counter-LRA operation in Central Africa; minimal cost,"A US Special Forces advisory mission in Central Africa supporting African Union-led forces hunting Joseph Kony and the Lord's Resistance Army, responsible for massacres, abductions of child soldiers, and displacement across multiple countries. The operation degraded but did not eliminate the LRA.",2011,2017,No,Partial Victory,No
103,21st Century,Niger ,"Jihadists victory: The Niger military overthrows the government in the 2023 Nigerien coup d'état. Niger's junta ended a military agreement that allowed US troops to be deployed in the country. US lost access to Niger Air Base 201, largest drone base in Africa built by the United States for $110 million. Beginning of new military cooperation between Niger and Russia. Jihadi groups linked to al-Qaida, the Islamic State group and Boko Haram remain still active in Niger.",,Counterterrorism training and operations; modest cost,"The US maintained counterterrorism bases in Niger, conducting drone surveillance and special operations against jihadist groups across the Sahel. The 2017 ambush that killed four US soldiers near Tongo Tongo drew attention to the growing US military footprint in West Africa; a 2023 coup ultimately led to US withdrawal.",2013,2024,No,Withdrawal,No
104,21st Century,Iraq ,"US-allied coalition and Iraqi victory: Tens of thousands of ISIL fighters killed. American-led forces launch over 13,300 airstrikes on ISIL positions in Iraq. Heavy damage dealt to ISIL forces, ISIL loses 40% of its territory in Iraq by January 2016. Iraq declares military victory against ISIL on December 9, 2017. Low-intensity ISIL insurgency following December 2017 Multinational humanitarian and arming of ground forces efforts. 200 ISIL created mass graves found containing up to 12,000 people. U.S. maintains limited military presence, approximately 2,500 U.S. military personnel remain in Iraq as of December 2021, providing assistance, advice and training to Iraqi forces.",,Counter-ISIS campaign; ~$14B+ expenditure,"A broad international coalition launched air strikes and deployed special operations forces and advisors to destroy the Islamic State (ISIS/ISIL), which had seized vast territories in Iraq and Syria. The campaign successfully dismantled the ISIS territorial caliphate by 2019, though the group remains an insurgent threat.",2014,ongoing,No,Ongoing,No
105,21st Century,Syria ,"Ongoing: Over 11,200 American and allied airstrikes hit ISIS and other extremist groups within Syria. Thousands of ISIS targets destroyed and thousands more militants captured or killed. ISIL lose Mosul and Raqqa(2017), then other most of territory in Iraq and then Syria. Syrian government. Chemical attack in Ghouta(2013) leading to OPCW-UN Joint Mission in Syria. American support for anti-government rebels. Deployment of U.S. Marines and Special Forces. Massive amounts of human rights violations and war crimes, in particular by Syrian government forces.",,Air strikes and special operations; modest direct cost,"The US conducted air strikes against ISIS targets in Syria, supported Kurdish and Arab rebel forces, and established a military presence in eastern Syria. American forces navigated a complex conflict involving the Assad government, Russia, Iran, Turkey, and multiple armed factions.",2014,ongoing,No,Ongoing,No
106,21st Century,Libya,"ISIS in Libya largely defeated. Liberation of Sirte. Hundreds of airstrikes carried out in Libya against Islamic State affiliated militant groups. Thousands of ISIL targets destroyed. ISIS presence in Libya severely diminished; airstrikes cease in 2019. Second Libyan Civil War continues until a permanent ceasefire was ratified on October 23, 2020",,Ongoing air strikes; minimal direct cost,"Following the collapse of the post-Gaddafi state, the US conducted periodic air strikes and special operations against ISIS affiliates and other extremist groups in Libya. The limited intervention operated alongside a broader international effort to stabilize a country fractured between rival governments.",2015,ongoing,No,Ongoing,No
107,21st Century,"Red Sea,Gulf of Aden and Yemen",Ongoing: US-led multinational coalition formed in December 2023 to respond to attacks on shipping in the Red Sea. Missile strikes against Houthi-controlled territory beginning in 2024,,Red Sea naval protection operation; modest cost,"A US-led multinational naval task force deployed in the Red Sea in response to Houthi rebel attacks on commercial shipping, launched in solidarity with Hamas during the Gaza conflict. The operation conducted defensive intercepts of drones and missiles and was accompanied by US and British strikes on Houthi targets in Yemen.",2023,ongoing,No,Ongoing,No
108,21st,Iran,"Ongoing — Iran's nuclear sites heavily damaged, Supreme Leader Khamenei killed (Feb 2026)",Donald Trump,Significant oil price spike; Strait of Hormuz disruption risk; global shipping rerouted around Cape of Good Hope,"US and Israeli strikes on Iranian nuclear facilities began June 22, 2025 (Operation Midnight Hammer). Escalated February 28, 2026 (Operation Epic Fury / Operation Roaring Lion) with joint US-Israeli strikes targeting Tehran, Isfahan, Qom and other cities. Supreme Leader Khamenei assassinated. Iran retaliated with missile strikes on US bases across the Gulf. Conflict ongoing as of early March 2026.",2025,ongoing,No,Ongoing,No